,address,nbtoken,NumNFT,FirstTimeOwner,FirstTokenName,FirstTokenSymbol,nb_token
0,0x0eeb7A2CD9C916fe087cDd28a3c5ABFDa31aD6d8,,53,False,Ethereum Name Service,ENS,25.0
0,0x79C54FfEB3b1de7EFb70A2cFfAA3b03c4A6fEdED,,2,True,Piano King NFT,PK,2.0
0,0x30d8179DABac05c60ccfA239a4bF532268220eb2,,2,True,Piano King NFT,PK,1.0
0,0x917BaeF3349854c7c2415Ff50D71B134Eb787F3a,,9,True,Piano King NFT,PK,9.0
0,0x1f0B13024d0Eb5b56906AFB021F5adeCf4396Ec6,,1,True,Piano King NFT,PK,1.0
0,0x142F49e64D33Ee367e8C21fA475A933e1Ddd3255,,2,True,Piano King NFT,PK,2.0
0,0xA02f6228757e941a8662950d6Dd477D75566bF85,,9,False,Billionaires,BB,2.0
0,0x857c86f95b5587ea7765A14fF1bA9e8Eac713d27,,3,True,Piano King NFT,PK,3.0
0,0x378066BB30535990c9d31b4758D8722Dd78FaF9a,,15,False,Ethereum Name Service,ENS,12.0
0,0xE75FFdCC44597598A8DE615B826b8F42Fe1a8A43,,3,False,Exclusible Alpha,EXCLUSIBLE,2.0
0,0x938E561d38770cc62a78dd46Be7d8CdCEbf2c872,,9,True,Piano King NFT,PK,5.0
0,0xC958c2B65E9840F76E34EE660e27cCf254d75Fa4,,2,True,Piano King NFT,PK,1.0
0,0x26eD5eeb37Bf556FcB67333421F40a4820c4638f,,1,True,Piano King NFT,PK,1.0
0,0x040ca5db945D561305Ec64C74791B4349FC9d312,,1465,False,Creature World,CREATURE,19.0
0,0x1750ab5c6F460eA6770C24A0d1fEd3877Bf48c87,,2,True,Piano King NFT,PK,1.0
0,0xE25d87809065a41040C87e29F064C94CB6cE941A,,5,True,Piano King NFT,PK,5.0
0,0xf3415D76F984cE7296Ca9cef0F83511388D62a30,,3842,False,Frogs in Disguise,FID,25.0
0,0xAdD012d91B390fA40F05e66889786844CCFc6B37,,24,False,Party Ape Billionaire Club,PABC,2.0
0,0x4D40F78265F86EEc8D3327E3a87c473DA9216de4,,58,False,Ethereum Name Service,ENS,25.0
0,0x630df7b6639aaDCfBcd87F9ABcd812E557b875DA,,2,True,Piano King NFT,PK,2.0
